precision,recall,f1-score,support
0.7991444286005296,0.888159384197419,0.8413038816212738,4417.0
0.8743327402135231,0.8581095830604671,0.8661452021593037,4581.0
0.26666666666666666,0.018957345971563982,0.035398230088495575,422.0
0.7272727272727273,0.7058823529411765,0.7164179104477613,238.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,2.0
0.0,0.0,0.0,1.0
0.8307469480653839,0.8307469480653839,0.8307469480653839,0.8307469480653839
0.3810595089647781,0.35301552373866096,0.3513236034738335,9666.0
0.8091002965519275,0.8307469480653839,0.8141212427060676,9666.0
